fileExtracted,Color0,Color2,Color4,Color8,relevante,topic_covid,topic_econ,delta,omicron,alza_casos,baja_casos,R0,R0_2,R0_4,R0_8,lugar
1571_COVID+Tabasco,3.0,2.0,3.0,2.0,9.0,0.2750916549917075,0.08860708923341547,0,0,0,13,2.5,7.5,5.5,7.250000000000001,Tabasco
1572_COVID+Tabasco,3.0,3.0,3.0,2.0,12.5,0.13754582749585376,0.10697203027950959,1,0,6,18,7.0,21.0,21.000000000000004,21.000000000000004,Tabasco
1573_COVID+Tabasco,3.0,2.0,2.0,3.0,10.0,0.0,0.2517448140883033,0,0,3,11,2.5,7.5,5.5,5.25,Tabasco
1574_COVID+Tabasco,3.0,2.0,2.0,2.0,13.0,0.2750916549917075,0.10191057138949952,0,0,5,9,2.5,7.5,5.5,5.25,Tabasco
1575_COVID+Tabasco,3.0,3.0,3.0,3.0,14.0,0.24662007041211642,0.14477278380879371,0,0,11,17,2.5,7.5,7.500000000000001,7.500000000000001,Tabasco
1576_COVID+Tabasco,3.0,2.0,3.0,2.0,9.0,0.23744717016168887,0.09531510295749379,0,0,3,12,2.5,7.5,5.5,7.250000000000001,Tabasco
1577_COVID+Tabasco,3.0,3.0,2.0,3.0,16.0,0.23382736174005453,0.3294514850007154,0,0,6,9,2.5,7.5,7.500000000000001,5.5,Tabasco
1578_COVID+Tabasco,3.0,2.0,2.0,1.0,11.0,0.13513873852271524,0.14477278380879371,2,0,2,10,7.0,21.0,15.400000000000002,14.700000000000001,Tabasco
1579_COVID+Tabasco,3.0,3.0,2.0,3.0,16.0,0.23864153968633156,0.12056888333170633,0,0,5,15,2.5,7.5,7.500000000000001,5.5,Tabasco
157_COVID+Baja+California+Sur,2.0,1.0,1.0,3.0,9.5,0.23382736174005453,0.09525883031145749,3,0,2,18,7.0,14.0,8.400000000000002,7.700000000000001,Baja_California_Sur
1580_COVID+Tabasco,3.0,4.0,4.0,4.0,12.0,0.33761006381704545,0.08860708923341547,0,0,5,16,2.5,7.5,9.5,9.75,Tabasco
1581_COVID+Tabasco,3.0,2.0,2.0,3.0,11.0,0.09868862321733927,0.10444130083450456,0,0,1,8,2.5,7.5,5.5,5.25,Tabasco
1582_COVID+Tabasco,3.0,2.0,3.0,2.0,10.5,0.13513873852271524,0.16675646316711965,0,0,4,12,2.5,7.5,5.5,7.250000000000001,Tabasco
1583_COVID+Tabasco,3.0,2.0,3.0,3.0,10.0,0.2543187002245267,0.10697203027950959,0,0,1,4,2.5,7.5,5.5,7.250000000000001,Tabasco
1584_COVID+Tabasco,3.0,3.0,2.0,3.0,12.0,0.09868862321733927,0.12056888333170633,0,0,4,7,2.5,7.5,7.500000000000001,5.5,Tabasco
1585_COVID+Tabasco,3.0,2.0,2.0,1.0,12.0,0.13513873852271524,0.18907632842550146,1,0,4,9,7.0,21.0,15.400000000000002,14.700000000000001,Tabasco
1586_COVID+Tabasco,3.0,3.0,2.0,4.0,14.0,0.2543187002245267,0.09531510295749379,8,0,8,10,7.0,21.0,21.000000000000004,15.400000000000002,Tabasco
1587_COVID+Tabasco,3.0,3.0,2.0,3.0,7.0,0.0,0.10191057138949952,0,0,0,6,2.5,7.5,7.500000000000001,5.5,Tabasco
1588_COVID+Tabasco,2.0,3.0,3.0,3.0,15.0,0.09868862321733927,0.10697203027950959,0,0,4,10,2.5,5.0,7.000000000000001,7.250000000000001,Tabasco
1589_COVID+Tabasco,2.0,2.0,3.0,3.0,6.0,0.13513873852271524,0.10444130083450456,0,0,1,9,2.5,5.0,5.0,7.000000000000001,Tabasco
158_COVID+Baja+California+Sur,2.0,2.0,1.0,1.0,7.0,0.18448305013138488,0.08453409959290246,38,0,7,19,7.0,14.0,14.0,8.400000000000002,Baja_California_Sur
1590_COVID+Tabasco,2.0,4.0,3.0,2.0,11.0,0.2543187002245267,0.08860708923341547,21,0,9,9,7.0,14.0,25.2,21.000000000000004,Tabasco
1591_COVID+Tabasco,2.0,2.0,2.0,2.0,13.0,0.23382736174005453,0.09531510295749379,0,0,5,10,2.5,5.0,5.0,5.0,Tabasco
1592_COVID+Tabasco,2.0,3.0,2.0,2.0,10.0,0.25445950836588105,0.10191057138949952,1,0,3,8,7.0,14.0,19.6,14.700000000000001,Tabasco
1593_COVID+Tabasco,2.0,3.0,3.0,2.0,13.0,0.1009460696054746,0.2517448140883033,0,0,2,11,2.5,5.0,7.000000000000001,7.250000000000001,Tabasco
1594_COVID+Tabasco,2.0,3.0,3.0,2.0,13.0,0.09868862321733927,0.16675646316711965,2,0,3,11,7.0,14.0,19.6,20.300000000000004,Tabasco
1595_COVID+Tabasco,2.0,2.0,1.0,1.0,10.0,0.13513873852271524,0.18907632842550146,1,0,1,13,7.0,14.0,14.0,8.400000000000002,Tabasco
1596_COVID+Tabasco,2.0,2.0,2.0,3.0,7.0,0.10230843163897363,0.10191057138949952,0,0,4,10,2.5,5.0,5.0,5.0,Tabasco
1597_COVID+Tabasco,2.0,2.0,4.0,3.0,14.0,0.2543187002245267,0.09463596588007256,4,0,13,7,7.0,14.0,14.0,25.2,Tabasco
1598_COVID+Tabasco,2.0,3.0,3.0,2.0,11.0,0.248540163447982,0.08860708923341547,7,0,9,16,7.0,14.0,19.6,20.300000000000004,Tabasco
1599_COVID+Tabasco,2.0,3.0,3.0,3.0,11.0,0.20000255676770262,0.14477278380879371,0,0,14,20,2.5,5.0,7.000000000000001,7.250000000000001,Tabasco
159_COVID+Baja+California+Sur,2.0,1.0,1.0,3.0,10.0,0.20631151136606132,0.10191057138949952,2,6,7,23,10.0,20.0,12.000000000000002,11.0,Baja_California_Sur
15_COVID+Aguascalientes,3.0,3.0,3.0,3.0,7.0,0.13513873852271524,0.10697203027950959,0,0,0,5,2.5,7.5,7.500000000000001,7.500000000000001,Aguascalientes
1600_COVID+Tabasco,2.0,2.0,1.0,1.0,9.5,0.13513873852271524,0.22463192966570467,1,0,3,15,7.0,14.0,14.0,8.400000000000002,Tabasco
1601_COVID+Tabasco,2.0,2.0,3.0,2.0,13.0,0.11917996170181146,0.10697203027950959,0,0,3,11,2.5,5.0,5.0,7.000000000000001,Tabasco
1602_COVID+Tabasco,2.0,2.0,2.0,3.0,12.5,0.16310351517951754,0.19640239692995917,2,0,5,13,7.0,14.0,14.0,14.0,Tabasco
1603_COVID+Tabasco,2.0,3.0,3.0,3.0,11.0,0.2427616266714373,0.08860708923341547,3,0,1,7,7.0,14.0,19.6,20.300000000000004,Tabasco
1604_COVID+Tabasco,2.0,2.0,2.0,2.0,10.0,0.11917996170181146,0.09531510295749379,118,0,2,11,7.0,14.0,14.0,14.0,Tabasco
1605_COVID+Tabasco,2.0,3.0,2.0,2.0,13.0,0.2750916549917075,0.09531510295749379,0,0,4,10,2.5,5.0,7.000000000000001,5.25,Tabasco
1606_COVID+Tabasco,2.0,2.0,2.0,3.0,10.0,0.12138081333571865,0.14477278380879371,0,0,2,6,2.5,5.0,5.0,5.0,Tabasco
1607_COVID+Tabasco,2.0,2.0,4.0,3.0,18.0,0.2543187002245267,0.09463596588007256,11,0,9,10,7.0,14.0,14.0,25.2,Tabasco
